year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_US_Post,No
2010,5,29,17,1,,,,6,20,1002,31,NW,26.82,0,0,17,0
2014,2,15,15,4,485,384,441,-8,41,1023,4,SE,8.95,0,0,423,1
2015,11,6,15,3,18,,23,1,100,1029,1,NE,4.02,0,0,25,2
2010,4,5,12,1,,,,1,36,1012,16,SE,5.81,0,0,186,3
2011,3,25,14,1,,,,-14,12,1026,15,NW,9.83,0,0,13,4
2014,9,26,7,3,111,112,108,16,93,1012,17,SE,9.39,0,0,120,5
2010,7,18,23,2,,,,24,78,1005,28,SE,35.76,0,0,147,6
2014,5,24,19,1,86,59,68,18,88,1008,20,SE,11.18,0,0,79,7
2014,3,9,4,1,116,120,146,-11,53,1025,-3,SE,0.89,0,0,172,8
2010,4,24,1,1,,,,-5,30,1019,12,SE,24.59,0,0,56,9
2013,3,23,9,1,80,76,79,-4,59,1011,3,SE,97.89,0,0,86,10
2010,11,25,7,3,,,,-11,73,1028,-7,NE,1.79,0,0,62,11
2011,8,16,7,2,,,,21,83,1003,24,NW,14.3,0,0,16,12
2015,5,4,15,1,19,40,20,-5,14,1012,24,SE,23.24,0,0,17,13
2010,9,15,15,3,,,,19,51,1009,30,SE,23.25,0,0,187,14
2012,9,9,12,3,,,,19,65,1015,26,cv,3.56,0,0,134,15
2010,9,14,23,3,,,,19,83,1013,22,cv,0.89,0,0,321,16
2012,9,26,22,3,,,,14,87,1018,16,cv,0.89,0,0,56,17
2012,10,6,14,3,,,,1,20,1024,25,cv,2.68,0,0,28,18
2011,2,16,0,4,,,,-10,79,1025,-7,NW,3.58,0,0,312,19
2012,2,1,9,4,,,,-27,20,1037,-8,NW,12.07,0,0,14,20
2014,5,9,11,1,81,57,71,7,51,1016,17,SE,17.88,0,0,69,21
2010,3,8,18,1,,,,-8,68,1039,-3,NW,8.05,0,0,63,22
2011,12,13,2,4,,,,-4,80,1028,-1,SE,0.89,0,0,100,23
2013,5,9,21,1,56,58,59,12,82,1008,15,SE,3.58,0,0,64,24
2015,2,1,11,4,42,39,36,-21,18,1036,0,NW,1.79,0,0,37,25
2010,3,15,2,1,,,,-2,74,1020,2,NW,26.82,0,0,220,26
2012,2,23,11,4,,,,-17,22,1028,2,NE,33.54,0,0,18,27
2012,7,4,0,2,,,,16,50,999,27,SE,28.62,0,0,60,28
2010,7,7,9,2,,,,15,45,1004,28,SE,8.94,0,0,54,29
2013,10,1,12,3,28,5,21,14,82,1017,17,NE,3.13,0,0,23,30
2014,1,10,8,4,27,,49,-22,39,1031,-11,cv,0.89,0,0,61,31
2011,10,12,6,3,,,,12,87,1019,14,NE,0.89,0,0,211,32
2014,12,22,21,4,102,126,126,-12,53,1022,-4,cv,0.89,0,0,115,33
2010,10,18,16,3,,,,6,100,1025,6,NW,20.12,1.3,2.8,64,34
2015,10,7,9,3,339,,313,17,88,1015,19,SE,2.68,0,0,267,35
2011,10,2,9,3,,,,0,35,1033,15,NW,14.75,0,0,18,36
2010,7,23,5,2,,,,24,94,1008,25,cv,0.89,0,0,227,37
2011,12,8,11,4,,,,-15,36,1040,-2,NW,13.85,0,0,11,38
2012,3,10,10,1,,,,-16,20,1025,5,NW,30.4,0,0,18,39
2012,6,29,21,2,,,,21,88,1004,23,cv,0.89,0,0,98,40
2010,1,27,15,4,,,,-14,19,1013,8,NW,24.15,0,0,41,41
2010,9,18,9,3,,,,12,87,1015,14,NE,11.63,0,0,20,42
2012,2,15,21,4,,,,-9,58,1028,-2,NW,3.13,0,0,163,43
2011,12,13,13,4,,,,-1,74,1022,3,cv,1.78,0,0,186,44
2014,4,10,8,1,78,113,86,0,35,1023,15,SE,12.51,0,0,88,45
2012,2,16,22,4,,,,-20,29,1030,-5,NW,130.09,0,0,20,46
2014,5,12,10,1,8,31,9,10,43,1002,23,NW,1.79,0,0,21,47
2012,10,4,6,3,,,,7,93,1016,8,NW,1.79,0,0,13,48
2015,2,2,4,4,295,284,286,-16,56,1033,-9,cv,0.89,0,0,225,49
2015,10,28,14,3,7,,12,-8,19,1022,15,NW,25.47,0,0,7,50
2012,2,23,9,4,,,,-15,33,1029,-1,NE,25.49,0,0,20,51
2014,1,10,5,4,,,,-23,42,1031,-13,NW,7.16,0,0,66,52
2012,4,29,17,1,,,,1,28,1009,20,SE,17.43,0,0,120,53
2012,8,21,17,2,,,,7,26,1012,28,SE,3.13,0,0,5,54
2013,7,1,15,2,233,229,233,23,83,998,26,SE,4.92,0,0,191,55
2014,3,13,14,1,21,19,25,-23,6,1019,12,SE,3.13,0,0,18,56
2010,5,21,18,1,,,,10,34,1006,27,SE,25.93,0,0,65,57
2011,10,18,2,3,,,,7,93,1025,8,cv,1.78,0,0,96,58
2011,8,11,7,2,,,,24,94,1007,25,NW,3.58,0,0,61,59
2011,5,27,22,1,,,,16,64,1010,23,SE,37.98,0,0,132,60
2010,7,14,17,2,,,,21,69,1009,27,SE,11.18,0,0,118,61
2014,2,2,2,4,151,129,151,-1,80,1012,2,SE,36.22,0,0,163,62
2015,3,2,0,1,85,83,78,-11,40,1015,1,NW,1.79,0,0,74,63
2011,7,5,15,2,,,,21,65,999,28,NW,7.15,0,0,141,64
2015,7,16,17,2,31,25,22,20,69,1006,26,NW,38,0,0,22,65
2014,12,17,9,4,70,90,81,-15,48,1029,-6,cv,2.67,0,0,96,66
2011,6,25,12,2,,,,13,37,1012,29,SE,3.13,0,0,27,67
2010,10,6,13,3,,,,14,53,1013,24,SE,1.79,0,0,256,68
2011,2,15,10,4,,,,-10,73,1029,-6,SE,1.79,0,0,214,69
2011,8,19,5,2,,,,20,94,1012,21,cv,0.89,0,0,63,70
2015,4,30,1,1,99,,103,14,68,1011,20,SE,38,0,0,102,71
2011,3,15,19,1,,,,-19,13,1023,7,NW,321.84,0,0,16,72
2010,1,12,7,4,,,,-25,33,1030,-12,NW,12.96,0,0,16,73
2014,4,30,19,1,77,71,80,9,36,1006,25,SE,29.95,0,0,91,74
2013,2,2,3,4,11,,11,-17,48,1034,-8,NW,3.13,0,0,16,75
2011,9,6,20,3,,,,19,78,1008,23,SE,33.98,0,0,164,76
2011,4,1,17,1,,,,-5,36,1028,9,NW,17.88,0,0,19,77
2013,10,15,13,3,6,8,3,-12,13,1029,16,cv,0.89,0,0,8,78
2015,4,16,0,1,77,127,78,-12,12,1007,17,NW,78.67,0,0,128,79
2013,11,27,14,3,12,11,10,-28,10,1027,0,NW,248.98,0,0,9,80
2014,1,9,2,4,11,12,16,-23,31,1033,-9,NW,3.58,0,0,10,81
2011,1,6,7,4,,,,-21,37,1039,-9,NW,321.4,0,0,9,82
2013,7,31,9,2,,,34,20,69,1000,26,SE,4.47,0,0,34,83
2013,1,19,4,4,218,,176,-12,62,1027,-6,cv,0.45,0,0,277,84
2013,7,9,19,2,43,40,33,22,88,1003,24,cv,0.89,0,0,40,85
2012,4,21,22,1,,,,11,82,1007,14,SE,14.31,0,0,147,86
2012,1,1,4,4,,,,-13,49,1033,-4,NE,4.92,0,0,38,87
2011,3,14,19,1,,,,-18,13,1027,8,NW,120.25,0,0,18,88
2013,11,29,19,3,111,88,93,-15,17,1017,8,NW,4.92,0,0,105,89
2015,8,8,20,2,85,76,64,22,78,1011,26,SE,0.89,0,0,63,90
2012,7,31,3,2,,,,20,100,1006,20,cv,1.78,0.4,45.7,35,91
2013,12,2,11,4,82,71,75,-15,19,1019,7,cv,1.79,0,0,87,92
2012,12,11,0,4,,,,-11,73,1032,-7,cv,2.68,0,0,165,93
2015,1,9,10,4,10,5,13,-16,24,1032,2,NW,15.2,0,0,16,94
2012,3,19,22,1,,,,-2,69,1024,3,SE,4.92,0,0,106,95
2014,11,19,15,3,309,385,389,0,53,1020,9,cv,1.79,0,0,370,96
2013,4,23,11,1,200,228,186,8,71,1011,13,SE,4.92,0,0,229,97
2015,7,20,3,2,91,78,67,22,100,1008,22,SE,3.13,0,0,82,98
2012,3,9,11,1,,,,-6,59,1029,1,cv,1.79,0,0,140,99
2010,12,6,10,4,,,,-18,22,1035,1,NW,203.8,0,0,15,100
2010,7,22,20,2,,,,25,74,1007,30,SE,21.02,0,0,176,101
2011,3,16,14,1,,,,-13,18,1022,10,SE,8.04,0,0,37,102
2012,6,28,10,2,,,,20,94,1011,21,SE,5.37,0.5,5.7,89,103
2010,6,15,4,2,,,,19,88,1002,21,SE,1.79,0,0,175,104
2011,12,29,5,4,,,,-11,62,1038,-5,SE,4.92,0,0,33,105
2013,9,27,16,3,234,235,269,9,40,1009,23,SE,14.76,0,0,254,106
2011,9,7,10,3,,,,21,83,1006,24,NE,1.79,0,0,277,107
2015,6,11,14,2,6,3,6,9,27,997,30,NW,53.19,0,0,4,108
2013,2,27,10,4,202,,112,-5,39,1020,8,NW,17.88,0,0,129,109
2011,3,23,22,1,,,,-12,21,1023,9,NW,20.56,0,0,15,110
2014,10,4,8,3,43,50,48,13,93,1019,14,SE,26.38,0,0,58,111
2011,11,26,21,3,,,,-4,55,1020,4,NW,4.92,0,0,305,112
2014,8,10,19,2,58,54,52,18,45,1001,31,SE,18.78,0,0,53,113
2011,7,26,12,2,,,,20,49,1000,32,cv,0.89,0,0,30,114
2010,1,27,16,4,,,,-14,20,1014,7,NW,32.2,0,0,29,115
2010,5,20,12,1,,,,4,17,1005,32,SE,1.79,0,0,58,116
2013,11,23,4,3,266,303,305,-6,68,1021,-1,NW,5.81,0,0,280,117
2012,3,21,2,1,,,,1,86,1023,3,SE,48.72,0,0,188,118
2012,11,17,8,3,,,,-3,86,1020,-1,NE,1.79,0,0,70,119
2011,5,19,6,1,,,,2,36,1012,17,NW,98.78,0,0,10,120
2014,3,8,21,1,166,205,149,-7,47,1023,3,cv,0.89,0,0,187,121
2010,9,11,1,3,,,,11,49,1009,22,NW,9.84,0,0,133,122
2015,2,7,14,4,13,14,15,-18,21,1031,2,NE,17.88,0,0,12,123
2014,2,19,20,4,122,103,113,-11,46,1029,-1,SE,16.98,0,0,89,124
2010,6,19,18,2,,,,19,58,1003,28,SE,19.67,0,0,83,125
2013,6,2,9,2,201,246,230,16,73,1007,21,SE,12.07,0,0,217,126
2010,3,13,18,1,,,,-11,28,1024,6,SE,42,0,0,75,127
2010,10,16,0,3,,,,6,81,1014,9,cv,0.89,0,0,125,128
2014,9,26,3,3,91,97,88,16,88,1013,18,cv,0.89,0,0,99,129
2012,1,1,18,4,,,,-15,36,1032,-2,cv,2.23,0,0,55,130
2013,7,11,2,2,35,55,27,20,83,1005,23,NW,46.94,0,0,33,131
2013,7,29,14,2,,,,23,62,1000,31,SE,4.92,0,0,55,132
2012,5,5,23,1,,,,8,38,1006,23,SE,32.63,0,0,68,133
2014,12,27,16,4,,,247,-9,35,1025,5,SE,6.26,0,0,249,134
2014,7,22,19,2,17,12,10,17,54,1006,27,cv,0.89,0,0,12,135
2012,9,17,11,3,,,,10,38,1015,25,NW,33.52,0,0,23,136
2012,10,19,11,3,,,,5,51,1018,15,SE,1.79,0,0,189,137
2010,9,8,4,3,,,,15,88,1015,17,NE,0.89,0,0,79,138
2013,3,12,5,1,133,141,134,0,75,1012,4,NE,0.89,0.3,0.8,153,139
2011,5,28,21,1,,,,17,54,1008,27,SE,63.04,0,0,100,140
2010,9,16,15,3,,,,20,73,1010,25,SE,85.85,0,0,194,141
2013,10,19,17,3,11,10,3,-4,23,1025,17,NW,88.52,0,0,15,142
2013,6,21,8,2,72,170,103,18,61,1010,26,NW,3.58,0,0,122,143
2012,8,11,8,2,,,,22,83,1007,25,SE,1.79,0,0,124,144
2015,12,1,16,4,444,,419,0,100,1017,0,cv,0.89,0,0,418,145
2010,4,24,8,1,,,,0,40,1019,13,SE,1.79,0,0,86,146
2011,11,12,8,3,,,,-4,32,1020,12,NW,4.02,0,0,43,147
2010,11,22,4,3,,,,-10,67,1021,-5,cv,0.89,0,0,68,148
2014,10,11,8,3,170,295,177,15,100,1021,15,SE,3.58,0,0,196,149
2012,4,9,5,1,,,,-2,42,1014,10,SE,27.28,0,0,150,150
2011,8,16,14,2,,,,18,43,1003,32,NE,12.06,0,0,4,151
2013,3,31,3,1,108,104,89,1,80,1023,4,SE,61.25,0,0,130,152
2011,2,11,13,4,,,,-15,33,1030,-1,NW,58.11,0,0,10,153
2014,3,10,10,1,72,71,73,-7,47,1026,3,SE,3.58,0,0,89,154
2015,2,11,10,4,32,29,26,-14,23,1019,5,NE,22.35,0,0,21,155
2010,12,2,21,4,,,,-15,36,1027,-2,NE,3.13,0,0,25,156
2015,8,4,5,2,12,20,5,15,88,1001,17,NW,19.23,0,0,14,157
2015,11,25,6,3,82,,83,-10,85,1030,-8,NE,1.79,0,0,89,158
2015,8,14,18,2,31,30,25,15,35,1002,32,cv,1.34,0,0,35,159
2012,8,28,20,2,,,,22,69,999,28,SE,8.94,0,0,118,160
2013,8,12,15,2,37,88,51,21,58,1004,30,SE,49.63,0,0,51,161
2013,9,4,3,3,137,149,145,17,77,1016,21,SE,23.7,0.3,0.3,149,162
2013,10,9,20,3,224,187,187,11,76,1009,15,NW,1.79,0,0,226,163
2014,1,11,23,4,23,14,32,-19,25,1032,-2,cv,0.89,0,0,20,164
2013,6,7,9,2,99,112,92,18,88,1009,20,cv,0.89,8.1,8.6,122,165
2013,2,15,6,4,6,,18,-18,51,1030,-10,NW,31.28,0,0,12,166
2010,4,2,0,1,,,,-7,51,1018,2,SE,0.89,0,0,52,167
2013,7,28,14,2,,,,15,27,999,37,SE,4.02,0,0,20,168
2011,4,11,15,1,,,,-16,6,1018,22,cv,4.92,0,0,12,169
2011,10,31,1,3,,,,10,93,1023,11,cv,0.89,0,0,255,170
2013,3,28,11,1,18,16,12,-20,10,1023,9,cv,0.89,0,0,15,171
2010,4,24,17,1,,,,4,28,1013,23,SE,54.55,0,0,85,172
2012,8,23,14,2,,,,17,48,1013,29,SE,3.13,0,0,70,173
2011,7,27,3,2,,,,22,94,1001,23,NE,3.58,0,0,53,174
2012,4,29,10,1,,,,-3,25,1014,17,NW,11.63,0,0,220,175
2014,7,22,3,2,6,,11,16,50,1005,27,NE,1.79,0,0,16,176
2014,8,3,20,2,81,70,56,24,83,1001,27,SE,1.79,0,0,67,177
2014,1,31,6,4,99,106,111,-9,68,1020,-4,NW,1.79,0,0,133,178
2011,8,12,16,2,,,,24,62,1001,32,SE,14.31,0,0,148,179
2010,10,21,9,3,,,,8,87,1024,10,NE,1.78,0,0,130,180
2012,12,20,2,4,,,,-11,85,1031,-9,NW,17.89,0,0,217,181
2015,3,11,3,1,120,148,129,-15,36,1024,-2,cv,2.68,0,0,98,182
2012,8,28,21,2,,,,23,83,1000,26,cv,0.89,0,0,128,183
2011,1,15,8,4,,,,-27,23,1042,-10,NW,256.59,0,0,18,184
2011,9,2,10,3,,,,17,61,1011,25,cv,1.79,0,0,52,185
2014,10,16,7,3,28,154,32,1,86,1024,3,cv,4.9,0,0,44,186
2014,5,13,18,1,39,26,23,-2,13,997,29,NW,46.94,0,0,30,187
2015,5,12,5,1,13,12,9,4,54,996,13,NW,97,0,0,7,188
2012,3,29,13,1,,,,-7,12,1011,23,NW,25.03,0,0,36,189
2011,10,17,15,3,,,,-1,25,1022,19,SE,7.15,0,0,21,190
2015,8,24,10,2,12,,8,18,57,1012,27,NW,4.92,0,0,11,191
2015,9,13,16,3,17,12,9,9,27,1014,30,SE,9.84,0,0,12,192
2013,10,8,6,3,69,67,62,7,66,1023,13,cv,1.78,0,0,49,193
2014,11,15,12,3,91,159,148,-6,36,1028,8,cv,3.12,,,141,194
