year,month,day,hour,season,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,PM_US_Post,No,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan
2010,5,29,17,1,6.0,20.0,1002.0,31.0,1,0.05016365846815674,0.0,0.0,17,0,18.0,13.0,14.0
2014,2,15,15,4,-8.0,41.0,1023.0,4.0,2,0.016739923314317777,0.0,0.0,423,1,485.0,384.0,441.0
2015,11,6,15,3,1.0,100.0,1029.0,1.0,3,0.00751893762274385,0.0,0.0,25,2,18.0,16.0,23.0
2010,4,5,12,1,1.0,36.0,1012.0,16.0,2,0.010866922285607407,0.0,0.0,186,3,177.0,182.0,174.0
2011,3,25,14,1,-14.0,12.0,1026.0,15.0,1,0.01838585990835126,0.0,0.0,13,4,11.0,12.0,12.0
2014,9,26,7,3,16.0,93.0,1012.0,17.0,2,0.01756289161133452,0.0,0.0,120,5,111.0,112.0,108.0
2010,7,18,23,2,24.0,78.0,1005.0,28.0,2,0.06688487795754232,0.0,0.0,147,6,172.0,169.0,152.0
2014,5,24,19,1,18.0,88.0,1008.0,20.0,2,0.020910876274198072,0.0,0.0,79,7,86.0,59.0,68.0
2014,3,9,4,1,-11.0,53.0,1025.0,-3.0,2,0.0016646404189656786,0.0,0.0,172,8,116.0,120.0,146.0
2010,4,24,1,1,-5.0,30.0,1019.0,12.0,2,0.045992705508276444,0.0,0.0,56,9,47.0,53.0,47.0
2013,3,23,9,1,-4.0,59.0,1011.0,3.0,2,0.18309174226129243,0.0,0.0,86,10,80.0,76.0,79.0
2010,11,25,7,3,-11.0,73.0,1028.0,-7.0,3,0.0033479846628635557,0.0,0.0,62,11,54.0,54.0,59.0
2011,8,16,7,2,21.0,83.0,1003.0,24.0,1,0.02674646965304405,0.0,0.0,16,12,15.0,29.0,12.0
2015,5,4,15,1,-5.0,14.0,1012.0,24.0,2,0.04346768914242963,0.0,0.0,17,13,19.0,40.0,20.0
2010,9,15,15,3,19.0,51.0,1009.0,30.0,2,0.04348639296736183,0.0,0.0,187,14,197.0,183.0,200.0
2012,9,9,12,3,19.0,65.0,1015.0,26.0,4,0.006658561675862714,0.0,0.0,134,15,159.0,148.0,140.0
2010,9,14,23,3,19.0,83.0,1013.0,22.0,4,0.0016646404189656786,0.0,0.0,321,16,275.0,296.0,256.0
2012,9,26,22,3,14.0,87.0,1018.0,16.0,4,0.0016646404189656786,0.0,0.0,56,17,52.0,52.0,49.0
2012,10,6,14,3,1.0,20.0,1024.0,25.0,4,0.005012625081829235,0.0,0.0,28,18,25.0,25.0,29.0
2011,2,16,0,4,-10.0,79.0,1025.0,-7.0,1,0.0066959693257271115,0.0,0.0,312,19,274.0,311.0,307.0
2012,2,1,9,4,-27.0,20.0,1037.0,-8.0,1,0.022575516693163752,0.0,0.0,14,20,8.0,12.0,11.0
2014,5,9,11,1,7.0,51.0,1016.0,17.0,2,0.03344243897877116,0.0,0.0,69,21,81.0,57.0,71.0
2010,3,8,18,1,-8.0,68.0,1039.0,-3.0,1,0.015056579070419903,0.0,0.0,63,22,52.0,59.0,56.0
2011,12,13,2,4,-4.0,80.0,1028.0,-1.0,2,0.0016646404189656786,0.0,0.0,100,23,82.0,152.0,89.0
2013,5,9,21,1,12.0,82.0,1008.0,15.0,2,0.0066959693257271115,0.0,0.0,64,24,56.0,58.0,59.0
2015,2,1,11,4,-21.0,18.0,1036.0,0.0,1,0.0033479846628635557,0.0,0.0,37,25,42.0,39.0,36.0
2010,3,15,2,1,-2.0,74.0,1020.0,2.0,1,0.05016365846815674,0.0,0.0,220,26,192.0,204.0,205.0
2012,2,23,11,4,-17.0,22.0,1028.0,2.0,3,0.06273262882259423,0.0,0.0,18,27,11.0,15.0,14.0
2012,7,4,0,2,16.0,50.0,999.0,27.0,2,0.0535303469559525,0.0,0.0,60,28,66.0,67.0,59.0
2010,7,7,9,2,15.0,45.0,1004.0,28.0,2,0.01672121948938558,0.0,0.0,54,29,54.0,57.0,61.0
2013,10,1,12,3,14.0,82.0,1017.0,17.0,3,0.005854297203778173,0.0,0.0,23,30,28.0,5.0,21.0
2014,1,10,8,4,-22.0,39.0,1031.0,-11.0,4,0.0016646404189656786,0.0,0.0,61,31,27.0,86.0,49.0
2011,10,12,6,3,12.0,87.0,1019.0,14.0,3,0.0016646404189656786,0.0,0.0,211,32,200.0,195.0,199.0
2014,12,22,21,4,-12.0,53.0,1022.0,-4.0,4,0.0016646404189656786,0.0,0.0,115,33,102.0,126.0,126.0
2010,10,18,16,3,6.0,100.0,1025.0,6.0,1,0.03763209576358366,1.3,2.8,64,34,58.0,64.0,60.0
2015,10,7,9,3,17.0,88.0,1015.0,19.0,2,0.005012625081829235,0.0,0.0,267,35,339.0,69.0,313.0
2011,10,2,9,3,0.0,35.0,1033.0,15.0,1,0.027588141774992987,0.0,0.0,18,36,11.0,16.0,18.0
2010,7,23,5,2,24.0,94.0,1008.0,25.0,4,0.0016646404189656786,0.0,0.0,227,37,234.0,233.0,201.0
2011,12,8,11,4,-15.0,36.0,1040.0,-2.0,1,0.02590479753109511,0.0,0.0,11,38,11.0,13.0,10.0
2012,3,10,10,1,-16.0,20.0,1025.0,5.0,1,0.05685962779388385,0.0,0.0,18,39,10.0,15.0,14.0
2012,6,29,21,2,21.0,88.0,1004.0,23.0,4,0.0016646404189656786,0.0,0.0,98,40,100.0,100.0,95.0
2010,1,27,15,4,-14.0,19.0,1013.0,8.0,1,0.0451697372112597,0.0,0.0,41,41,35.0,39.0,36.0
2010,9,18,9,3,12.0,87.0,1015.0,14.0,3,0.021752548396147015,0.0,0.0,20,42,18.0,23.0,18.0
2012,2,15,21,4,-9.0,58.0,1028.0,-2.0,1,0.005854297203778173,0.0,0.0,163,43,121.0,147.0,137.0
2011,12,13,13,4,-1.0,74.0,1022.0,3.0,4,0.003329280837931357,0.0,0.0,186,44,167.0,181.0,178.0
2014,4,10,8,1,0.0,35.0,1023.0,15.0,2,0.023398484990180494,0.0,0.0,88,45,78.0,113.0,86.0
2012,2,16,22,4,-20.0,29.0,1030.0,-5.0,1,0.24331805854297206,0.0,0.0,20,46,15.0,16.0,13.0
2014,5,12,10,1,10.0,43.0,1002.0,23.0,1,0.0033479846628635557,0.0,0.0,21,47,8.0,31.0,9.0
2012,10,4,6,3,7.0,93.0,1016.0,8.0,1,0.0033479846628635557,0.0,0.0,13,48,9.0,17.0,11.0
2015,2,2,4,4,-16.0,56.0,1033.0,-9.0,4,0.0016646404189656786,0.0,0.0,225,49,295.0,284.0,286.0
2015,10,28,14,3,-8.0,19.0,1022.0,15.0,1,0.04763864210230992,0.0,0.0,7,50,7.0,47.0,12.0
2012,2,23,9,4,-15.0,33.0,1029.0,-1.0,3,0.04767604975217432,0.0,0.0,20,51,18.0,18.0,16.0
2014,1,10,5,4,-23.0,42.0,1031.0,-13.0,1,0.013391938651454223,0.0,0.0,66,52,65.0,86.0,89.0
2012,4,29,17,1,1.0,28.0,1009.0,20.0,2,0.03260076685682222,0.0,0.0,120,53,108.0,111.0,101.0
2012,8,21,17,2,7.0,26.0,1012.0,28.0,2,0.005854297203778173,0.0,0.0,5,54,9.0,8.0,9.0
2013,7,1,15,2,23.0,83.0,998.0,26.0,2,0.009202281866641729,0.0,0.0,191,55,233.0,229.0,233.0
2014,3,13,14,1,-23.0,6.0,1019.0,12.0,2,0.005854297203778173,0.0,0.0,18,56,21.0,19.0,25.0
2010,5,21,18,1,10.0,34.0,1006.0,27.0,2,0.04849901804919106,0.0,0.0,65,57,67.0,62.0,65.0
2011,10,18,2,3,7.0,93.0,1025.0,8.0,4,0.003329280837931357,0.0,0.0,96,58,82.0,109.0,87.0
2011,8,11,7,2,24.0,94.0,1007.0,25.0,1,0.0066959693257271115,0.0,0.0,61,59,82.0,95.0,74.0
2011,5,27,22,1,16.0,64.0,1010.0,23.0,2,0.07103712709249041,0.0,0.0,132,60,125.0,132.0,122.0
2010,7,14,17,2,21.0,69.0,1009.0,27.0,2,0.020910876274198072,0.0,0.0,118,61,126.0,140.0,131.0
2014,2,2,2,4,-1.0,80.0,1012.0,2.0,2,0.06774525390442346,0.0,0.0,163,62,151.0,129.0,151.0
2015,3,2,0,1,-11.0,40.0,1015.0,1.0,1,0.0033479846628635557,0.0,0.0,74,63,85.0,83.0,78.0
2011,7,5,15,2,21.0,65.0,999.0,28.0,1,0.013373234826522026,0.0,0.0,141,64,179.0,187.0,175.0
2015,7,16,17,2,20.0,69.0,1006.0,26.0,1,0.07107453474235481,0.0,0.0,22,65,31.0,25.0,22.0
2014,12,17,9,4,-15.0,48.0,1029.0,-6.0,4,0.004993921256897036,0.0,0.0,96,66,70.0,90.0,81.0
2011,6,25,12,2,13.0,37.0,1012.0,29.0,2,0.005854297203778173,0.0,0.0,27,67,26.0,28.0,25.0
2010,10,6,13,3,14.0,53.0,1013.0,24.0,2,0.0033479846628635557,0.0,0.0,256,68,277.0,240.0,284.0
2011,2,15,10,4,-10.0,73.0,1029.0,-6.0,2,0.0033479846628635557,0.0,0.0,214,69,181.0,188.0,184.0
2011,8,19,5,2,20.0,94.0,1012.0,21.0,4,0.0016646404189656786,0.0,0.0,63,70,61.0,63.0,58.0
2015,4,30,1,1,14.0,68.0,1011.0,20.0,2,0.07107453474235481,0.0,0.0,102,71,99.0,240.0,103.0
